Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YOL004W	SIN3	transcription regulatory protein	0.376	0.505	0.775	0.818	0.872	0.882	0.794	0.874	0.846	0.877	0.934	0.768	0.925	0.877
YOL005C	RPB11	"DNA-directed RNA polymerase II subunit, 13.6 kD"	0.376	0.505	0.775	0.818	0.872	0.882	0.794	0.874	0.846	0.877	0.934	0.768	0.925	0.877
YOL006C	TOP1	DNA topoisomerase I	0.703	0.824	0.929	0.72	0.544	0.596	0.74	0.63	0.789	0.777	0.446	0.502	0.528	0.417
YOL007C	CSI2	involved in chitin synthesis	0.691	0.048	0.348	0.415	0.546	0.779	0.648	0.589	0.639	0.591	0.489	0.746	0.46	0.749
YOL008W	YOL008W	similarity to hypothetical protein S. pombe	0.222	0.166	0.265	0.781	0.899	0.617	0.235	0.44	0.266	0.444	0.614	0.671	0.672	0.375
YOL009C	MDM12	involved in mitochondrial inheritance	0.222	0.166	0.265	0.781	0.899	0.617	0.235	0.44	0.266	0.444	0.614	0.671	0.672	0.375
YOL010W	RCL1	similarity to human RNA 3'-terminal phosphate cyclase	0.042	0.142	0.136	0.3	0.656	0.53	0.175	0.295	0.132	0.181	0.755	0.715	0.87	0.475
YOL011W	PLB3	phospholipase B (lysophospholipase)	0.715	0.402	0.505	0.739	0.362	0.869	0.89	0.692	0.859	0.942	0.687	0.783	0.812	0.927
YOL012C	HTZ1	evolutionarily conserved member of the histone H2A F/Z family of histone variants	0.715	0.402	0.505	0.739	0.362	0.869	0.89	0.692	0.859	0.942	0.687	0.783	0.812	0.927
YOL013C	HRD1	involved in degradation of HMG2P	0.248	0.11	0.299	0.718	0.84	0.635	0.628	0.664	0.452	0.476	0.4	0.15	0.592	0.609
YOL013W-A	YOL013W-A	questionable ORF - identified by SAGE	0.341	0.786	0.386	0.119	0.312	0.193	0.168	0.267	0.36	0.289	0.317	0.161	0.294	0.076
YOL014W	YOL014W	hypothetical protein	0.535	0.704	0.751	0.709	0.712	0.837	0.48	0.722	0.818	0.687	0.908	0.807	0.888	0.777
YOL015W	YOL015W	weak similarity to YKR015c	0.409	0.575	0.191	0.425	0.46	0.544	0.38	0.417	0.328	0.623	0.636	0.563	0.606	0.43
YOL016C	CMK2	"Ca2+/calmodulin-dependent ser/thr protein kinase, type II"	0.409	0.575	0.191	0.425	0.46	0.544	0.38	0.417	0.328	0.623	0.636	0.563	0.606	0.43
YOL017W	YOL017W	similarity to YFR013w	0.058	0.042	0.019	0.127	0.139	0.093	0.003	0.016	0.011	0.009	0.046	0.152	0.028	0.255
YOL018C	TLG2	member of the syntaxin family of t-SNAREs	0.058	0.042	0.019	0.127	0.139	0.093	0.003	0.016	0.011	0.009	0.046	0.152	0.028	0.255
YOL019W	TOS7	similarity to RIM9P and YFR012w	0.988	0.004	0.043	0.326	0.019	0.757	0.9	0.177	0.787	0.879	0.078	0.489	0.029	0.952
YOL020W	TAT2	high affinity tryptophan transport protein	0.592	0.013	0.036	0.416	0.022	0.572	0.801	0.561	0.665	0.721	0.614	0.737	0.539	0.822
YOL021C	DIS3	3'->5' exoribonuclease required for 3' end formation of 5.8S rRNA	0.592	0.013	0.036	0.416	0.022	0.572	0.801	0.561	0.665	0.721	0.614	0.737	0.539	0.822
YOL022C	YOL022C	weak similarity to rat apoptosis protein RP-8	0.863	0.756	0.45	0.76	0.891	0.891	0.611	0.515	0.613	0.549	0.791	0.833	0.761	0.804
YOL023W	IFM1	"translation initiation factor 2, mitochondrial"	0.122	0.348	0.083	0.02	0.13	0.097	0.021	0.061	0.025	0.03	0.018	0.019	0.019	0.007
YOL024W	YOL024W	hypothetical protein	NaN	0.307	0.344	0.574	0.647	0.768	0.302	0.148	0.648	0.426	0.481	0.736	0.448	0.187
YOL025W	LAG2	involved in determining longevity	0.842	0.243	0.245	0.9	0.676	0.929	0.883	0.635	0.814	0.486	0.675	0.621	0.734	0.948
YOL026C	YOL026C	hypothetical protein	0.967	0.791	0.948	0.961	0.924	0.99	0.984	0.978	0.988	0.918	0.928	0.878	0.903	0.996
YOL027C	YOL027C	similarity to YPR125w	0.871	0.872	0.862	0.75	0.019	0.946	0.859	0.651	0.935	0.923	0.891	0.916	0.889	0.934
YOL028C	YAP7	involved in transcription activation	0.854	0.756	0.902	0.568	0.436	0.873	0.786	0.83	0.923	0.87	0.898	0.955	0.863	0.915
YOL029C	YOL029C	hypothetical protein	0.752	0.871	0.86	0.828	0.937	0.914	0.749	0.938	0.838	0.887	0.99	NaN	0.932	0.81
YOL030W	YOL030W	strong similarity to glycoprotein GAS1P	0.841	0.694	0.666	0.738	0.809	0.923	0.874	0.944	0.855	0.893	0.885	0.935	0.881	0.89
YOL031C	YOL031C	weak similarity to Y.lipolytica SLS1 protein precursor	0.841	0.694	0.666	0.738	0.809	0.923	0.874	0.944	0.855	0.893	0.885	0.935	0.881	0.89
YOL032W	YOL032W	weak similarity to hypothetical protein S. pombe	0.9	0.942	0.861	0.143	0.079	0.037	0.367	0.178	0.618	0.68	0.303	0.583	0.2	0.392
YOL033W	MSE1	"glutamyl-tRNA synthetase, mitochondrial"	0.305	0.412	0.303	0.603	0.77	0.436	0.166	0.273	0.161	0.353	0.43	0.376	0.655	0.382
YOL034W	YOL034W	similarity to S.pombe RAD18 and rpgL29 genes and other members of the SMC superfamily	0.476	0.599	0.335	0.307	0.218	0.36	0.527	0.43	0.387	0.495	0.394	0.424	0.491	0.413
YOL035C	YOL035C	questionable ORF	0.395	0.598	0.59	0.63	0.781	0.494	0.471	0.8	0.496	0.799	0.484	0.693	0.701	0.713
YOL036W	YOL036W	weak similarity to YMR317w	0.289	0.193	0.108	0.122	0.192	0.124	0.102	0.056	0.165	0.114	0.162	0.513	0.246	0.284
YOL037C	YOL037C	questionable ORF	0.395	0.598	0.59	0.63	0.781	0.494	0.471	0.8	0.496	0.799	0.484	0.693	0.701	0.713
YOL038W	PRE6	20S proteasome subunit (alpha4)	0.174	0.432	0.594	0.489	0.929	0.889	0.538	0.944	0.623	0.839	0.837	0.785	0.955	0.873
YOL039W	RPP2A	acidic ribosomal protein P2.beta	0.566	0.796	0.832	0	0.905	0.921	0.961	0.977	0.93	0.971	0.964	0.974	0.95	0.934
YOL040C	RPS15	40S small subunit ribosomal protein	0.566	0.796	0.832	0	0.905	0.921	0.961	0.977	0.93	0.971	0.964	0.974	0.95	0.934
YOL041C	NOP12	"weak similarity to M.sativa NUM1, hnRNP protein from C. tentans and D. melanogaster, murine/bovine poly(A) binding protein II, and NSR1P"	0.488	0.192	0.434	0.2	0.706	0.594	0.177	0.214	0.307	0.286	0.528	0.587	0.496	0.425
YOL042W	NGL1	similarity to CCR4 protein	0.001	0.002	0.001	0.23	0.485	0.112	0.005	0.116	0.006	0.013	0.56	0.187	0.456	0.295
YOL043C	NTG2	endonuclease III-like glycosylase 2	0.001	0.002	0.001	0.23	0.485	0.112	0.005	0.116	0.006	0.013	0.56	0.187	0.456	0.295
YOL044W	PEX15	required for peroxisome assembly - peroxin	0.714	0.884	0.838	0.567	0.32	0.472	0.472	0.647	0.549	0.781	0.489	0.729	0.675	0.512
YOL045W	YOL045W	similarity to ser/thr protein kinase	0.47	0.707	0.554	0.69	0.464	0.646	0.632	0.687	0.564	0.739	0.762	0.464	0.677	0.556
YOL046C	YOL046C	questionable ORF	0.714	0.884	0.838	0.567	0.32	0.472	0.472	0.647	0.549	0.781	0.489	0.729	0.675	0.512
YOL047C	YOL047C	weak similarity to hypothetical proteins YAL018c and YOL048c	0.47	0.707	0.554	0.69	0.464	0.646	0.632	0.687	0.564	0.739	0.762	0.464	0.677	0.556
YOL048C	YOL048C	similarity to YAL018c and YOL047c	0.211	0.288	0.468	0.527	0.229	0.507	0.285	0.477	0.35	0.402	0.483	0.369	0.545	0.551
YOL049W	GSH2	Glutathione synthetase	0.298	0.532	0.416	0.63	0.271	0.137	0.356	0.423	0.429	0.309	0.496	0.377	0.683	0.494
YOL050C	YOL050C	questionable ORF	0.298	0.532	0.416	0.63	0.271	0.137	0.356	0.423	0.429	0.309	0.496	0.377	0.683	0.494
YOL051W	GAL11	DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit	0.86	0.863	0.795	0.796	0.855	0.924	0.79	0.851	0.944	0.888	0.894	0.884	0.916	0.906
YOL052C	SPE2	adenosylmethionine decarboxylase precursor	0.86	0.863	0.795	0.796	0.855	0.924	0.79	0.851	0.944	0.888	0.894	0.884	0.916	0.906
YOL052C-A	DDR2	heat shock protein DDRA2	0.964	0.139	0.946	0.797	0.559	0.903	0.932	0.637	0.564	0.877	0.698	0.936	0.579	0.966
YOL053W	YOL053W	hypothetical protein	0.591	0.719	0.865	0.408	0.519	0.345	0.165	0.166	0.389	0.51	0.812	0.471	0.729	0.355
YOL054W	YOL054W	weak similarity to transcription factors	0.942	0.848	0.885	0.898	0.934	0.461	0.816	0.786	0.691	0.632	0.668	0.546	0.67	0.796
YOL055C	THI20	hydroxymethylpyrimidine phosphate (HMP-P) kinase	0.892	0.937	0.924	0.882	0.891	0.687	0.781	0.865	0.732	0.828	0.844	0.796	0.86	0.777
YOL056W	GPM3	phosphoglycerate mutase	0.524	0.696	0.207	0.421	0.257	0.307	0.13	0.22	0.178	0.282	0.056	0.274	0.118	0.058
YOL057W	YOL057W	similarity to hypothetical C. elegans protein F02E9.6	0.559	0.282	0.476	0.232	0.356	0.013	0.567	0.15	0.465	0.487	0.088	0.094	0.047	0.28
YOL058W	ARG1	argininosuccinate synthetase	0.874	0	0.581	0.147	0	0.616	0.771	0.004	0.82	0.817	0.095	0.325	0.021	0.788
YOL059W	GPD2	"glycerol-3-phosphate dehydrogenase (NAD+), mitochondrial"	0.949	0.264	0.881	0.906	0.09	0.97	0.958	0.426	0.877	0.939	0.765	0.95	0.658	0.962
YOL060C	AMI3	similarity to hypothetical C.elegans and A.thaliana proteins	0.949	0.264	0.881	0.906	0.09	0.97	0.958	0.426	0.877	0.939	0.765	0.95	0.658	0.962
YOL061W	PRS5	ribose-phosphate pyrophosphokinases	0.486	0.691	0.681	0.872	0.549	0.897	0.739	0.873	0.813	0.863	0.833	0.749	0.857	0.681
YOL062C	APM4	"AP-2 complex subunit, mu2 subunit, 55 KD"	0.486	0.691	0.681	0.872	0.549	0.897	0.739	0.873	0.813	0.863	0.833	0.749	0.857	0.681
YOL063C	YOL063C	hypothetical protein	0.471	0.753	0.53	0.66	0.405	0.288	0.431	0.496	0.368	0.53	0.678	0.528	0.718	0.361
YOL064C	MET22	protein ser/thr phosphatase	0.442	0.496	0.441	0.658	0	0.452	0.311	0.135	0.435	0.461	0.637	0.45	0.472	0.486
YOL065C	INP54	inositol polyphosphate 5-phosphatase	0.56	0.702	0.562	0.672	0.429	0.49	0.389	0.608	0.611	0.765	0.644	0.452	0.496	0.357
YOL066C	RIB2	DRAP deaminase	0.531	0.727	0.924	0.544	0.341	0.481	0.503	0.493	0.734	0.523	0.634	0.438	0.388	0.218
YOL067C	RTG1	basic helix-loop-helix transcription factor that regulates CIT2 gene expression	0.419	0.618	0.707	0.969	0.712	0.803	0.793	0.812	0.768	0.858	0.805	0.777	0.766	0.556
YOL068C	HST1	silencing protein	0.802	0.73	0.679	0.92	0.087	0.978	0.592	0.79	0.686	0.847	0.855	0.751	0.8	0.829
YOL069W	NUF2	spindle pole body protein	0.795	0.944	0.719	0.87	0.852	0.906	0.712	0.826	0.658	0.812	0.838	0.861	0.698	0.705
YOL070C	YOL070C	hypothetical protein	0.795	0.944	0.719	0.87	0.852	0.906	0.712	0.826	0.658	0.812	0.838	0.861	0.698	0.705
YOL071W	YOL071W	similarity to hypothetical S. pombe protein	0.826	0.868	0.665	0.743	0.896	0.937	0.471	0.702	0.59	0.807	0.717	0.692	0.692	0.453
YOL072W	THP1	weak similarity to hypothetical protein C. elegans	0.359	0.748	0.843	0.832	0.849	0.667	0.438	0.833	0.669	0.553	0.698	0.762	0.75	0.33
YOL073C	YOL073C	weak similarity to hypothetical protein S. pombe	0.359	0.748	0.843	0.832	0.849	0.667	0.438	0.833	0.669	0.553	0.698	0.762	0.75	0.33
YOL075C	YOL075C	similarity to A.gambiae ATP-binding-cassette protein	0.399	0.72	0.536	0.798	0.844	0.812	0.677	0.824	0.738	0.709	0.944	0.83	0.846	0.472
YOL076W	MDM20	necessary for mitochondrial inheritance and organisation of the actin cytoskeleton	0.606	NaN	0.533	0.183	0.711	0.695	0.567	0.63	0.44	0.483	0.772	0.768	0.792	0.506
YOL077C	BRX1	strong similarity to C.elegans K12H4.3 protein	0.606	NaN	0.533	0.183	0.711	0.695	0.567	0.63	0.44	0.483	0.772	0.768	0.792	0.506
YOL077W-A	ATP19	subunit K of the dimeric form of mitochondrial F1F0-ATP synthase	0.55	0.901	0.844	0.558	0.903	0.985	0.806	0.869	0.883	0.854	NaN	0.984	0.851	0.661
YOL078W	YOL078W	similarity to stress activated MAP kinase interacting protein S. pombe	0.55	0.901	0.844	0.558	0.903	0.985	0.806	0.869	0.883	0.854	NaN	0.984	0.851	0.661
YOL079W	YOL079W	similarity to NADH dehydrogenases	0.014	0.031	0.006	0.123	0.16	0.059	0.001	0.003	0.004	0.001	0.002	0.004	0.01	0.002
YOL080C	REX4	strong similarity to X.laevis XPMC2 protein and YGR276c	0.55	0.901	0.844	0.558	0.903	0.985	0.806	0.869	0.883	0.854	NaN	0.984	0.851	0.661
YOL081W	IRA2	GTPase-activating protein for RAS proteins	0.409	0.109	0.432	0.581	0.344	0.825	0.615	0.256	0.464	0.72	0.84	0.691	0.695	0.689
YOL082W	CVT19	similarity to YOL083w	0.107	0.03	0.017	0.119	0.053	0.182	0.134	0.083	0.032	0.064	0.066	0.177	0.117	0.245
YOL083W	YOL083W	similarity to YOL082w	0.53	0.482	0.34	0.354	0.326	0.272	0.361	0.46	0.341	0.453	0.575	0.48	0.756	0.508
YOL084W	PHM7	similarity to A.thaliana hyp1 protein	0.203	0.258	0.341	0.332	0.219	0.302	0.61	0.254	0.41	0.641	0.574	0.7	0.485	0.458
YOL085C	YOL085C	hypothetical protein	0.203	0.258	0.341	0.332	0.219	0.302	0.61	0.254	0.41	0.641	0.574	0.7	0.485	0.458
YOL086C	ADH1	alcohol dehydrogenase I	0.744	0.25	0.48	0.605	0.676	0.917	0.839	0.816	0.76	0.928	0.517	0.693	0.806	0.939
YOL087C	YOL087C	similarity to S.pombe hypothetical protein	0.801	0.898	0.79	0.89	0.846	0.855	0.891	0.91	0.87	0.89	0.752	0.833	0.867	0.878
YOL088C	MPD2	protein disulfide isomerase-related protein	0.495	0.461	0.627	0.459	0.633	0.518	0.393	0.508	0.379	0.807	0.515	0.458	0.605	0.448
YOL089C	HAL9	transcriptional activator of ENA1	0.368	0.805	0.476	0.398	0.647	0.215	0.521	0.495	0.412	0.51	0.368	0.4	0.401	0.213
YOL090W	MSH2	DNA mismatch repair protein	0.801	0.904	NaN	0.157	0.122	0.121	0.446	0.421	0.417	0.385	0.426	0.473	0.33	0.312
YOL091W	SPO21	"component of the meiotic plaque, required for formation of the prospore membrane"	0.913	0.885	0.754	0.361	0.249	0.158	0.544	0.485	0.438	0.489	0.25	0.297	0.479	0.13
YOL092W	YOL092W	strong similarity to YBR147w	0.489	0.49	0.707	0.682	0.293	0.812	0.469	0.435	0.818	0.808	0.904	0.808	0.906	0.54
YOL093W	YOL093W	similarity to C.elegans hypothetical protein F25H8.1	0.149	0.497	0.249	0.364	0.565	0.262	0.187	0.419	0.266	0.347	0.469	0.068	0.425	0.415
YOL094C	RFC4	"DNA replication factor C, 37 kDa subunit"	0.149	0.497	0.249	0.364	0.565	0.262	0.187	0.419	0.266	0.347	0.469	0.068	0.425	0.415
YOL095C	HMI1	mitochondrial DNA helicase	0.463	0.618	0.602	0.319	0.102	0.103	0.186	0.331	0.131	0.266	0.328	0.28	0.321	0.144
YOL096C	COQ3	enzyme of ubiquinone (coenzyme Q) biosynthesis	0.333	0.673	0.498	0.662	0.525	0.692	0.238	0.637	0.37	0.479	0.496	0.351	0.318	0.466
YOL097C	WRS1	tryptophan--tRNA ligase	0.393	0.924	0.891	0.604	0.514	0.52	0.566	0.546	0.406	0.837	0.724	0.661	0.824	0.483
YOL098C	YOL098C	similarity to hypothetical S.pombe protein	0.391	0.889	0.861	0.83	0.895	0.842	0.523	0.92	0.707	0.826	0.84	0.564	0.809	0.363
YOL099C	YOL099C	questionable ORF	0.543	0.798	0.478	0.542	0.503	0.233	0.191	0.194	0.191	0.33	0.663	0.37	0.566	0.44
YOL100W	PKH2	similarity to ser/thr protein kinases	0.227	0.259	0.569	0.534	0.779	0.4	0.447	0.66	0.221	0.521	0.486	0.472	0.587	0.37
YOL101C	YOL101C	similarity to YOL002c and YDR492w	0.227	0.259	0.569	0.534	0.779	0.4	0.447	0.66	0.221	0.521	0.486	0.472	0.587	0.37
YOL102C	TPT1	tRNA 2'-phosphotransferase	0.239	0.362	0.396	0.248	0.202	0.167	0.135	0.205	0.17	0.371	0.413	0.306	0.44	0.391
YOL103W	ITR2	"myo-inositol permease, minor"	0.441	0.625	0.481	0.305	0.408	0.108	0.306	0.5	0.133	0.265	0.523	0.398	0.491	0.297
YOL103W-A	#REF!		0.576	0.388	0.655	0.466	0.151	0.566	0.791	0.361	0.662	0.734	0.257	0.26	0.255	0.458
YOL103W-B	#REF!		0.576	0.388	0.655	0.466	0.151	0.566	0.791	0.361	0.662	0.734	0.257	0.26	0.255	0.458
YOL104C	NDJ1	meiotic telomere protein	0.576	0.388	0.655	0.466	0.151	0.566	0.791	0.361	0.662	0.734	0.257	0.26	0.255	0.458
YOL105C	WSC3	cell wall integrity and stress response component 3	0.515	0.481	0.378	0.218	0.144	0.049	0.137	0.261	0.472	0.338	0.082	0.073	0.088	0.06
YOL106W	YOL106W	questionable ORF - identified by SAGE	0.798	0.614	0.485	0.806	0.824	0.72	0.633	0.253	0.483	0.529	0.499	0.415	0.446	0.467
YOL107W	YOL107W	weak similarity to human PL6 protein	0.918	0.529	0.971	0.89	0.613	0.819	0.84	0.876	0.739	0.892	0.445	NaN	0.544	0.949
YOL108C	INO4	basic helix-loop-helix transcription factor	0.918	0.529	0.971	0.89	0.613	0.819	0.84	0.876	0.739	0.892	0.445	NaN	0.544	0.949
YOL109W	ZEO1	weak similarity to G.hirsutum embryonic abundant protein D-7	0.893	0.042	0.628	0.501	0.859	0.831	0.986	0.72	0.748	0.875	0.42	0.882	0.08	0.951
YOL110W	SHR5	RAS suppressor	0.817	0.22	0.521	0.477	0.477	0.401	0.674	0.55	0.733	0.633	0.512	0.559	0.477	0.698
YOL111C	YOL111C	weak similarity to human ubiquitin-like protein GDX	0.817	0.22	0.521	0.477	0.477	0.401	0.674	0.55	0.733	0.633	0.512	0.559	0.477	0.698
YOL112W	MSB4	similarity to Mic1p and human transforming protein tre-2	0.648	0.613	0.66	0.36	0.034	0.128	0.157	0.111	0.292	0.249	0.41	0.404	0.471	0.574
YOL113W	SKM1	STE20/PAK-like protein kinase	0.601	0.017	0.373	0.196	0.015	0.415	0.686	0.17	0.23	0.426	0.067	0.306	0.015	0.484
YOL114C	YOL114C	similarity to human DS-1 protein	0.601	0.017	0.373	0.196	0.015	0.415	0.686	0.17	0.23	0.426	0.067	0.306	0.015	0.484
YOL115W	TRF4	topoisomerase I-related protein	0.456	0.382	0.326	0.05	0.256	0.285	0.076	0.174	0.084	0.064	0.045	0.085	0.048	0.014
YOL116W	MSN1	transcriptional activator	0.462	0.707	0.688	0.464	0.801	0.77	0.306	0.841	0.478	0.616	0.346	0.68	0.557	0.471
YOL117W	YOL117W	weak similarity to human sodium channel alpha chain HBA	0.402	0.01	0.029	0.039	0.095	0.028	0.156	0.027	0.038	0.032	0.015	0.006	0.003	0.253
YOL118C	YOL118C	hypothetical protein	0.402	0.01	0.029	0.039	0.095	0.028	0.156	0.027	0.038	0.032	0.015	0.006	0.003	0.253
YOL119C	YOL119C	similarity to monocarboxylate transporter proteins	0.858	0	0.574	0.33	0	0.658	0.931	0.053	0.413	0.616	0.017	0.642	0	0.948
YOL120C	RPL18A	60S large subunit ribosomal protein S18.e	0.975	0.909	0.872	0	0.83	0.949	0.954	0.812	0.944	0.945	0.804	0.888	0.723	0.759
YOL121C	RPS19A	40S small subunit ribosomal protein S19.e	0.917	0.849	0.776	0	0.252	0.878	0.921	0.914	0.924	0.846	0.866	0.954	0.82	0.754
YOL122C	SMF1	manganese transporter	0.988	0.934	0.986	0.361	0.8	0.983	0.98	0.979	0.962	0.974	0.971	0.988	0.939	0.938
YOL123W	HRP1	CF Ib (RNA3' Cleavage factor Ib)	0.791	0.444	0.389	0.091	0.554	0.418	0.213	0.309	0.255	0.186	0.46	0.619	0.248	0.208
YOL124C	YOL124C	weak similarity to M.jannaschii hypothetical protein	0.791	0.444	0.389	0.091	0.554	0.418	0.213	0.309	0.255	0.186	0.46	0.619	0.248	0.208
YOL125W	YOL125W	similarity to hypothetical protein D. melanogaster	0.529	0.001	0.755	0.239	0.112	0.553	0.847	0.555	0.628	0.824	0.502	0.905	0.266	0.821
YOL126C	MDH2	"malate dehydrogenase, cytoplasmic"	0.529	0.001	0.755	0.239	0.112	0.553	0.847	0.555	0.628	0.824	0.502	0.905	0.266	0.821
YOL127W	RPL25	ribosomal protein L23a.e	0.293	0.01	0.288	0	0.348	0.453	0.737	0.35	0.532	0.561	0.16	0.707	0.063	0.747
YOL128C	YOL128C	strong similarity to protein kinase MCK1P	0.293	0.01	0.288	0	0.348	0.453	0.737	0.35	0.532	0.561	0.16	0.707	0.063	0.747
YOL129W	YOL129W	similarity to hypothetical S. pombe protein	0.477	0.575	0.559	0.502	0.63	0.283	0.25	0.043	0.404	0.547	0.35	0.521	0.589	0.51
YOL130W	ALR1	divalent cation transporter	0.099	0.188	0.242	0.643	0.805	0.62	0.258	0.647	0.421	0.72	0.646	0.454	0.79	0.481
YOL131W	YOL131W	hypothetical protein	0.505	0.376	0.332	0.478	0.536	0.11	0.18	0.462	0.389	0.492	0.465	0.434	0.499	0.385
YOL132W	YOL132W	similarity to glycophospholipid-anchored surface glycoprotein GAS1P	0.202	0.059	0.11	0.462	0.717	0.475	0.319	0.374	0.309	0.289	0.362	0.264	0.489	0.359
YOL133W	HRT1	similarity to Lotus RING-finger protein	0.142	0.542	0.294	0.498	0.717	0.421	0.543	0.311	0.221	0.563	0.646	0.572	0.775	0.487
YOL134C	YOL134C	questionable ORF	0.202	0.059	0.11	0.462	0.717	0.475	0.319	0.374	0.309	0.289	0.362	0.264	0.489	0.359
YOL135C	MED7	member of RNA Polymerase II transcriptional regulation mediator complex	0.142	0.542	0.294	0.498	0.717	0.421	0.543	0.311	0.221	0.563	0.646	0.572	0.775	0.487
YOL136C	PFK27	"6-phosphofructose-2-kinase, isoenzyme 2"	0.647	0.26	0.601	0.642	0.038	0.625	0.69	0.825	0.609	0.85	0.611	0.728	0.525	0.877
YOL137W	YOL137W	weak similarity to tetracycline resistance proteins	0.466	0.354	0.453	0.532	0.365	0.292	0.218	0.428	0.347	0.427	0.179	0.254	0.228	0.403
YOL138C	YOL138C	weak similarity to hypothetical trp-asp repeats containing protein S. pombe	0.466	0.354	0.453	0.532	0.365	0.292	0.218	0.428	0.347	0.427	0.179	0.254	0.228	0.403
YOL139C	CDC33	translation initiation factor eIF4E	0.519	0.728	0.699	0.414	0.326	0.101	0.584	0.629	0.447	0.631	0.472	0.238	0.362	0.615
YOL140W	ARG8	acetylornithine aminotransferase	0.415	0.07	0.002	0.24	0	0.452	0.428	0.017	0.469	0.742	0.481	0.378	0.317	0.686
YOL141W	PPM2	similarity to YDR435c and C.elegans hypothetical protein	0.235	0.174	0.22	0.535	0.751	0.415	0.005	0.036	0.03	0.046	0.607	0.319	NaN	0.228
YOL142W	RRP40	"protein involved in ribosomal RNA processing, component of the exosome complex responsible for 3' end processing and degradation of many RNA species"	0.592	0.822	0.735	0.557	0.322	0.654	0.58	0.518	0.703	0.865	0.861	0.768	0.844	0.902
YOL143C	RIB4	"6,7-dimethyl-8-ribityllumazine synthase"	0.592	0.822	0.735	0.557	0.322	0.654	0.58	0.518	0.703	0.865	0.861	0.768	0.844	0.902
YOL144W	NOP8	nucleolar protein required for 60S ribosome biogenesis	0.14	0.236	0.233	0.162	0.236	0.126	0.154	0.44	0.146	0.254	0.059	0.058	0.053	0.032
YOL145C	CTR9	required for G1 cyclin expression	0.14	0.236	0.233	0.162	0.236	0.126	0.154	0.44	0.146	0.254	0.059	0.058	0.053	0.032
YOL146W	YOL146W	weak similarity to hypothetical protein S. pombe	0.556	0.84	0.929	0.8	0.601	0.608	0.643	0.452	0.542	0.717	0.552	0.567	0.8	0.417
YOL147C	PEX11	peroxisomal membrane protein - peroxin	0.556	0.84	0.929	0.8	0.601	0.608	0.643	0.452	0.542	0.717	0.552	0.567	0.8	0.417
YOL148C	SPT20	member of the TBP class of SPT proteins that alter transcription site selection	0.479	0.844	0.645	0.621	0.631	0.499	0.374	0.521	0.493	0.652	0.757	0.551	0.64	0.542
YOL149W	DCP1	mRNA decapping enzyme	0.389	0.79	0.724	0.483	0.264	0.194	0.41	0.573	0.194	0.478	0.56	0.352	0.767	0.334
YOL150C	YOL150C	questionable ORF	0.389	0.79	0.724	0.483	0.264	0.194	0.41	0.573	0.194	0.478	0.56	0.352	0.767	0.334
YOL151W	GRE2	similarity to plant dihydroflavonol-4-reductases	0.242	0.462	0.433	0.603	0.824	0.617	0.532	0.593	0.398	0.456	0.714	0.594	0.778	0.453
YOL152W	FRE7	similarity to FRE1P and FRE2P	0.677	0.701	0.048	0.647	0.042	0.451	0.532	0.383	0.448	0.509	0.482	0.813	0.55	0.616
YOL153C	YOL153C	strong similarity to CPS1P	0.214	0.304	0.397	0.471	0.335	0.427	0.389	0.432	0.503	0.442	0.4	0.518	0.496	0.602
YOL154W	YOL154W	similarity to S.fumigata Asp FII	0.204	0.021	0.025	0.371	0.649	0.258	0.484	0.433	0.402	0.292	0.177	0.153	0.266	0.45
YOL155C	YOL155C	"similarity to glucan 1,4-alpha-glucosidase Sta1p and YAR066w"	0.928	0.118	0.194	0.512	0.822	0.142	0.918	0.468	0.476	0.472	0.181	0.054	0.445	0.729
YOL156W	HXT11	low affinity glucose transport protein	0.821	0.641	0.732	0.952	0.922	0.914	0.939	0.809	0.872	0.9	0.92	0.949	0.844	0.941
YOL157C	YOL157C	strong similarity to alpha-glucosidases	0.821	0.641	0.732	0.952	0.922	0.914	0.939	0.809	0.872	0.9	0.92	0.949	0.844	0.941
YOL158C	ENB1	a gene of the major facilitator superfamily encodes a transporter for enterobactin	0.778	0.635	0.721	0.876	0.409	0.809	0.727	0.725	0.657	0.841	0.508	0.73	0.524	0.589
YOL159C	YOL159C	hypothetical protein	0.008	0.011	0.003	0.077	0.066	0.002	0	0	0	0	0.001	0.016	0.001	0.008
YOL160W	YOL160W	hypothetical protein	0.032	0.312	0.084	0.068	0.1	0.073	0.005	0.045	0.018	0.003	0.024	0.064	0.036	0.003
YOL161C	YOL161C	strong similarity to members of the SRP1P/TIP1P family	0.454	0.844	0.457	0.782	0.764	0.896	0.619	0.832	0.741	0.668	0.859	NaN	0.829	0.446
YOL162W	YOL162W	strong similarity to hypothetical protein YIL166c	0.443	0.47	0.449	0.778	0.753	0.872	0.457	0.757	0.466	0.499	0.466	0.443	0.597	0.433
